 2019/04/12-14:55	 1694.56	 1696.01	 1693.78	 1695.28	         279340	           	       0.00	  279340.00	  220701.59	  193758.41	       0.46	      -0.49	       1.91	
 2019/04/12-15:00	 1695.27	 1696.19	 1694.91	 1695.73	         302333	           	       0.00	  302333.00	  241549.59	  204922.20	       0.62	      -0.27	       1.77	
 2019/04/15-09:35	 1721.64	 1726.20	 1714.71	 1720.17	        1232554	           	       0.00	 1232554.00	  445018.00	  314511.69	       2.68	       0.32	       4.72	
 2019/04/15-09:40	 1720.90	 1721.39	 1714.84	 1714.84	         615846	           	       0.00	  615846.00	  526686.38	  355939.69	       3.84	       1.03	       5.63	
 2019/04/15-09:45	 1714.87	 1715.59	 1711.29	 1715.59	         471455	           	       0.00	  471455.00	  580305.63	  384874.41	       4.77	       1.77	       5.98	
 2019/04/15-09:50	 1715.56	 1719.98	 1712.91	 1719.98	         477095	           	       0.00	  477095.00	  619856.63	  420279.09	       5.79	       2.58	       6.42	
 2019/04/15-09:55	 1720.16	 1720.16	 1715.38	 1715.49	         412943	           	       0.00	  412943.00	  641978.63	  441764.09	       6.16	       3.29	       5.74	
 2019/04/15-10:00	 1715.37	 1718.99	 1713.61	 1714.79	         377891	           	       0.00	  377891.00	  471046.00	  458032.00	       6.33	       3.90	       4.86	
 2019/04/15-10:05	 1714.19	 1719.97	 1714.19	 1717.36	         326934	           	       0.00	  326934.00	  413263.59	  469975.00	       6.60	       4.44	       4.31	
 2019/04/15-10:10	 1717.64	 1722.59	 1717.29	 1722.36	         292866	           	       0.00	  292866.00	  377545.81	  478925.69	       7.13	       4.98	       4.30	
 2019/04/15-10:15	 1722.62	 1723.25	 1714.89	 1715.01	         299165	           	       0.00	  299165.00	  341959.81	  480908.19	       6.88	       5.36	       3.04	
 2019/04/15-10:20	 1715.24	 1715.71	 1713.04	 1715.06	         220479	           	       0.00	  220479.00	  303467.00	  472722.81	       6.60	       5.61	       1.99	
 2019/04/15-10:25	 1715.37	 1715.37	 1710.78	 1710.78	         232491	           	       0.00	  232491.00	  274387.00	  372716.50	       5.97	       5.68	       0.59	
 2019/04/15-10:30	 1710.70	 1711.34	 1709.33	 1709.73	         206268	           	       0.00	  206268.00	  250253.80	  331758.69	       5.33	       5.61	      -0.56	
 2019/04/15-10:35	 1709.72	 1711.91	 1707.03	 1708.38	         199220	           	       0.00	  199220.00	  231524.59	  304535.19	       4.66	       5.42	      -1.53	
 2019/04/15-10:40	 1708.25	 1709.17	 1705.81	 1708.18	         223701	           	       0.00	  223701.00	  216431.80	  279195.81	       4.06	       5.15	      -2.18	
 2019/04/15-10:45	 1707.87	 1709.40	 1706.93	 1709.07	         157410	           	       0.00	  157410.00	  203818.00	  253642.50	       3.62	       4.84	      -2.45	
 2019/04/15-10:50	 1708.85	 1711.77	 1708.79	 1710.09	         135421	           	       0.00	  135421.00	  184404.00	  229395.50	       3.31	       4.53	      -2.45	
 2019/04/15-10:55	 1710.12	 1712.68	 1710.06	 1712.48	         142013	           	       0.00	  142013.00	  171553.00	  210903.41	       3.22	       4.27	      -2.10	
 2019/04/15-11:00	 1712.88	 1713.03	 1709.62	 1709.62	         135903	           	       0.00	  135903.00	  158889.59	  195207.09	       2.89	       4.00	      -2.21	
 2019/04/15-11:05	 1709.59	 1712.62	 1708.31	 1711.24	         142754	           	       0.00	  142754.00	  142700.20	  179566.00	       2.72	       3.74	      -2.03	
 2019/04/15-11:10	 1711.31	 1711.70	 1704.36	 1705.80	         169308	           	       0.00	  169308.00	  145079.80	  174448.91	       2.13	       3.42	      -2.58	
 2019/04/15-11:15	 1705.85	 1707.15	 1705.72	 1706.24	         108507	           	       0.00	  108507.00	  139697.00	  162050.50	       1.67	       3.07	      -2.79	
 2019/04/15-11:20	 1706.27	 1706.34	 1701.71	 1701.71	         122574	           	       0.00	  122574.00	  135809.20	  153681.09	       0.94	       2.64	      -3.41	
 2019/04/15-11:25	 1701.76	 1703.07	 1701.53	 1702.59	         129599	           	       0.00	  129599.00	  134548.41	  146719.00	       0.42	       2.20	      -3.56	
 2019/04/15-11:30	 1702.44	 1702.57	 1700.30	 1700.44	         123049	           	       0.00	  123049.00	  130607.40	  136653.80	      -0.16	       1.73	      -3.78	
 2019/04/15-13:05	 1700.63	 1703.03	 1699.92	 1699.93	         136615	           	       0.00	  136615.00	  124068.80	  134574.30	      -0.66	       1.25	      -3.81	
 2019/04/15-13:10	 1699.89	 1700.53	 1699.35	 1699.83	         107769	           	       0.00	  107769.00	  123921.20	  131809.09	      -1.04	       0.79	      -3.67	
 2019/04/15-13:15	 1699.66	 1699.89	 1697.14	 1697.41	         127554	           	       0.00	  127554.00	  124917.20	  130363.20	      -1.53	       0.33	      -3.71	
 2019/04/15-13:20	 1697.34	 1700.95	 1696.26	 1700.95	         142449	           	       0.00	  142449.00	  127487.20	  131017.80	      -1.61	      -0.06	      -3.10	
 2019/04/15-13:25	 1700.85	 1701.34	 1699.34	 1700.07	         111275	           	       0.00	  111275.00	  125132.40	  127869.90	      -1.72	      -0.39	      -2.66	
 2019/04/15-13:30	 1700.00	 1700.00	 1696.41	 1697.06	         125643	           	       0.00	  125643.00	  122938.00	  123503.40	      -2.04	      -0.72	      -2.63	
 2019/04/15-13:35	 1696.83	 1699.74	 1696.63	 1696.90	         132755	           	       0.00	  132755.00	  127935.20	  125928.20	      -2.27	      -1.03	      -2.47	
 2019/04/15-13:40	 1697.02	 1697.10	 1694.81	 1695.04	         120640	           	       0.00	  120640.00	  126552.40	  125734.80	      -2.57	      -1.34	      -2.47	
 2019/04/15-13:45	 1694.82	 1695.09	 1691.80	 1691.91	         154044	           	       0.00	  154044.00	  128871.40	  128179.30	      -3.03	      -1.68	      -2.71	
 2019/04/15-13:50	 1692.14	 1692.19	 1687.98	 1687.99	         160650	           	       0.00	  160650.00	  138746.41	  131939.41	      -3.67	      -2.08	      -3.19	
 2019/04/15-13:55	 1688.06	 1690.30	 1687.19	 1687.59	         163338	           	       0.00	  163338.00	  146285.41	  134611.70	      -4.16	      -2.49	      -3.33	
 2019/04/15-14:00	 1687.75	 1688.53	 1685.85	 1688.06	         166934	           	       0.00	  166934.00	  153121.20	  140528.20	      -4.46	      -2.89	      -3.15	
 2019/04/15-14:05	 1687.97	 1687.97	 1682.81	 1684.12	         194689	           	       0.00	  194689.00	  167931.00	  147241.70	      -4.96	      -3.30	      -3.31	
